id,CompanyNo,BusinessName,PostCode,IndustryCode,EmploymentBands,Turnover,LegalStatus,TradingStatus,UPRN,VatRefs,PayeRefs
1000012345000001,12000531,BIG BOX CEREAL 5 LTD,SL6 1AZ,10612,1,10,1,A,10023450194,"553769640209,553769640247",""
1000012345000002,12021594,BIG BOX CEREAL 25 LTD,S71 5QU,10612,1,10,1,A,10023450191,"553769640234",""
1000012345000003,12048530,BIG BOX CEREAL 47 LTD,W10 6SQ,10612,1,10,1,A,10023450204,"553769640260",""
1000012345000004,12094821,BIG BOX CEREAL 10 LTD,OL12 0NS,10612,1,10,1,A,10023450169,"553769640218",""
1000012345000005,12105317,BIG BOX CEREAL 37 LTD,KT10 9DN,10612,1,10,1,A,10023450152,"553769640249",""
1000012345000006,12117650,BIG BOX CEREAL LTD,DN22 7TD,10612,1,10,1,A,10023450134,"553769640200","965H7103022"
1000012345000007,12146788,BIG BOX CEREAL 23 LTD,ME4 6BB,10612,1,10,1,A,10023450160,"553769640232",""
1000012345000008,12146805,BIG BOX CEREAL 43 LTD,WF2 8TL,10612,1,10,1,A,10023450208,"553769640255",""
1000012345000009,12174673,BIG BOX CEREAL 27 LTD,SW1W 8RB,10612,1,10,1,A,10023450198,"553769640237",""
1000012345000010,12213988,BIG BOX CEREAL 13 LTD,OL16 5NZ,10612,1,10,1,A,10023450178,"553769640221",""
1000012345000011,12213989,BIG BOX CEREAL 11 LTD,OL12 7BP,10612,1,10,1,A,10023450172,"553769640219",""
1000012345000012,12213990,BIG BOX CEREAL 15 LTD,OL16 1DL,10612,1,10,1,A,10023450175,"553769640223",""
1000012345000013,12213991,BIG BOX CEREAL 16 LTD,OL11 1HH,10612,1,10,1,A,10023450165,"553769640224","965H7Z96143"
1000012345000014,12213992,BIG BOX CEREAL 12 LTD,OL11 5PN,10612,1,10,1,A,10023450168,"553769640220",""
1000012345000015,12214913,BIG BOX CEREAL 14 LTD,OL16 1UT,10612,1,10,1,A,10023450176,"553769640222",""
1000012345000016,12228814,BIG BOX CEREAL 42 LTD,DH2 2EF,10612,1,10,1,A,10023450131,"553769640254",""
1000012345000017,12240849,BIG BOX CEREAL 50 LTD,RH6 0LD,10612,1,10,1,A,10023450184,"553769640269",""
1000012345000018,12242321,BIG BOX CEREAL 39 LTD,KA20 3AE,10612,1,10,1,A,10023450151,"553769640251",""
1000012345000019,12245644,BIG BOX CEREAL 51 LTD,RH6 0LD,10612,1,10,1,A,10023450184,"553769640270",""
1000012345000020,12255898,BIG BOX CEREAL 55 LTD,BT17 9RY,10612,1,10,1,A,10023450107,"553769640274",""
1000012345000021,12259635,BIG BOX CEREAL 36 LTD,RM8 1HJ,10612,1,10,1,A,10023450189,"553769640248",""
1000012345000022,12281636,BIG BOX CEREAL 49 LTD,HD1 1AA,10612,1,10,1,A,10023450148,"553769640268",""
1000012345000023,12292633,BIG BOX CEREAL 24 LTD,ME14 4DY,10612,1,10,1,A,10023450159,"553769640233","575H7Z87548"
1000012345000024,12304213,BIG BOX CEREAL 35 LTD,RM2 5HA,10612,1,10,1,A,10023450188,"553769640246",""
1000012345000025,12309927,BIG BOX CEREAL 44 LTD,ST4 6DU,10612,1,10,1,A,10023450196,"553769640256",""
1000012345000026,12311102,BIG BOX CEREAL 6 LTD,GU35 8JR,10612,1,10,1,A,10023450144,"553769640212",""
1000012345000027,12315567,BIG BOX CEREAL 48 LTD,G11 5LL,10612,1,10,1,A,10023450139,"553769640265",""
1000012345000028,12319481,BIG BOX CEREAL 26 LTD,WF14 8NF,10612,1,10,1,A,10023450207,"553769640236",""
1000012345000029,12337373,BIG BOX CEREAL 45 LTD,BN3 8AG,10612,1,10,1,A,10023450104,"553769640257",""
1000012345000030,12375902,BIG BOX CEREAL 41 LTD,CA14 4JX,10612,1,10,1,A,10023450115,"553769640253",""
1000012345000031,12383697,BIG BOX CEREAL 40 LTD,KA20 3AE,10612,1,10,1,A,10023450151,"553769640252",""
1000012345000032,12386585,BIG BOX CEREAL 53 LTD,TF1 6NA,10612,1,10,1,A,10023450200,"553769640272",""
1000012345000033,12468391,BIG BOX CEREAL 18 LTD,OL12 0SA,10612,1,10,1,A,10023450171,"553769640226",""
1000012345000034,12475045,BIG BOX CEREAL 28 LTD,DA12 1AF,10612,1,10,1,A,10023450125,"553769640238",""
1000012345000035,12477828,BIG BOX CEREAL 19 LTD,OL12 0NZ,10612,1,10,1,A,10023450170,"553769640227",""
1000012345000036,12487119,BIG BOX CEREAL 32 LTD,RM1 1RX,10612,1,10,1,A,10023450185,"553769640242",""
1000012345000037,12487121,BIG BOX CEREAL 33 LTD,RM1 4DD,10612,1,10,1,A,10023450186,"553769640243",""
1000012345000038,12538434,BIG BOX CEREAL 21 LTD,OL12 9DB,10612,1,10,1,A,10023450174,"553769640230",""
1000012345000039,12542140,BIG BOX CEREAL 52 LTD,TF1 6NA,10612,1,10,1,A,10023450200,"553769640271",""
1000012345000040,12548573,BIG BOX CEREAL 3 LTD,PR26 7QS,10612,1,10,1,A,10023450182,"553769640207",""
1000012345000041,12612278,BIG BOX CEREAL 56 LTD,BT36 5HE,10612,1,10,1,A,10023450109,"553769640276",""
1000012345000042,12648116,BIG BOX CEREAL 22 LTD,OL10 2EW,10612,1,10,1,A,10023450164,"553769640231",""
1000012345000043,12649897,BIG BOX CEREAL 2 LTD,CA8 7DR,10612,1,10,1,A,10023450116,"553769640203",""
1000012345000044,12692047,BIG BOX CEREAL 4 LTD,WV4 4NJ,10612,1,10,1,A,10023450209,"553769640208",""
1000012345000045,12717026,BIG BOX CEREAL 8 LTD,OL16 5QN,10612,1,10,1,A,10023450179,"553769640214",""
1000012345000046,12741463,BIG BOX CEREAL 20 LTD,OL11 1LJ,10612,1,10,1,A,10023450166,"553769640228",""
1000012345000047,12743252,BIG BOX CEREAL 17 LTD,OL11 1UT,10612,1,10,1,A,10023450167,"553769640225",""
